HJD,MAG,BAND,SURVEY
-38378.10432799999,0.18424992707178323,B,DASCH
-38376.09075099975,0.26749415531104237,B,DASCH
-37932.21935900021,-0.7388611562386229,B,DASCH
-37302.15195800038,-0.3493135191451442,B,DASCH
-37277.13406800013,0.16642957339997455,B,DASCH
-36152.15889900038,0.20212173712754744,B,DASCH
-36123.18605899997,-0.3980872749170974,B,DASCH
-36122.32906399993,-0.38889143557851913,B,DASCH
-36122.31606400013,-0.39501898909452215,B,DASCH
-36122.19206500007,-0.35462254482154787,B,DASCH
-36105.25115399994,-0.42875421879729014,B,DASCH
-36051.41415699991,0.42292638545586403,B,DASCH
-36047.45131799998,-0.3447307181041319,B,DASCH
-36043.41731799999,-0.08170584150249205,B,DASCH
-35748.31983899977,-0.2970847589536838,B,DASCH
-35747.393906999845,-0.31888582092642803,B,DASCH
-35746.26575200027,-0.28359045488130175,B,DASCH
-35038.22916899994,-0.32090482089888894,B,DASCH
-34709.13210099982,0.4837621542004493,B,DASCH
-34628.27057499997,0.22355252532709624,B,DASCH
-34627.27607999975,-0.334854805732264,B,DASCH
-34619.372256999835,0.11236535868809394,B,DASCH
-34380.11474499991,-0.871359223007345,B,DASCH
-34260.334556000314,0.33400391872337654,B,DASCH
-33906.322162000004,0.1931364976284522,B,DASCH
-33879.3911319999,-0.21661758401338282,B,DASCH
-33622.13835299993,0.5445151683481599,B,DASCH
-33273.1195700001,-0.6505322945952532,B,DASCH
-33183.35615299968,-0.21929225502262017,B,DASCH
-33179.433172000114,0.08829278912678351,B,DASCH
-33179.349172000315,0.059847487885758,B,DASCH
-33179.25317199994,0.11928438565625399,B,DASCH
-33179.162173000164,0.06114344609193889,B,DASCH
-33144.427295000285,-0.12958627201074968,B,DASCH
-33143.443297000136,-0.026934499369883902,B,DASCH
-32924.09630700014,-0.6263191483148942,B,DASCH
-32905.12364100013,-0.6077258879274048,B,DASCH
-32409.416302999947,0.26597645722349395,B,DASCH
-32066.393243999686,0.2694553331613294,B,DASCH
-32034.393314999994,0.28249501742908745,B,DASCH
-32033.409316000063,0.3239343818139515,B,DASCH
-31369.197631000083,-0.21899200436985744,B,DASCH
-29394.487079000097,0.3911921194672656,B,DASCH
-28432.291490000214,-0.4229746589707073,B,DASCH
-27999.42331300024,-0.09711251943213117,B,DASCH
-27329.24350800039,-0.30933933550750403,B,DASCH
-26534.40330900019,0.2303399937053543,B,DASCH
-26513.455260999966,0.321513279377192,B,DASCH
-26512.4332580003,0.40019539522465397,B,DASCH
-26510.46125200019,0.16595850877161222,B,DASCH
-26509.427248000167,0.1272420889108261,B,DASCH
-26470.484069,-0.38139949217046,B,DASCH
-26332.131719999947,-0.005282501767151615,B,DASCH
-26317.124772000127,-0.249603778518801,B,DASCH
-26316.12877599988,-0.14222756716150098,B,DASCH
-26293.22188300034,0.11649990566270407,B,DASCH
-26267.321025999725,0.2055762110688688,B,DASCH
-26265.199037000068,0.0032433436236551927,B,DASCH
-26262.15205400018,-0.34958936780139194,B,DASCH
-26261.215059000067,-0.24343909152984278,B,DASCH
-26259.21007000003,-0.19441654148907972,B,DASCH
-26258.16607599985,-0.0639130726963062,B,DASCH
-26247.36213300005,0.2917736113645377,B,DASCH
-26171.47631199984,0.03641679692841038,B,DASCH
-26124.473166999876,0.1687583726325288,B,DASCH
-26099.499038000118,0.2702563552208188,B,DASCH
-26092.50099900039,-0.23087842906322376,B,DASCH
-25948.180786999877,0.28313477412030874,B,DASCH
-25946.215795000084,-0.4595824280457528,B,DASCH
-25934.195852000263,0.4377288487326849,B,DASCH
-25918.2509349999,0.19153020968399215,B,DASCH
-25915.30995200016,0.3839473788934571,B,DASCH
-25639.104674000293,0.04129984862218716,B,DASCH
-25591.149753999896,-0.36700337518342074,B,DASCH
-25591.104754999746,-0.3337720997564908,B,DASCH
-25591.093611000102,-1.0321057836104224,B,DASCH
-25587.22876899969,-0.1888624348911625,B,DASCH
-25581.19979400001,0.2396875498048674,B,DASCH
-25560.201896999966,0.38254850791936956,B,DASCH
-25537.27402300015,0.2508610118174692,B,DASCH
-25511.40974000004,-0.1520546755403389,B,DASCH
-25510.370922000147,-0.03075659469347425,B,DASCH
-25508.368774000093,0.12476899961192345,B,DASCH
-25507.39228599984,0.28908249553156384,B,DASCH
-25506.401254000142,0.4017963783872629,B,DASCH
-25504.341624999885,0.44661594976753793,B,DASCH
-25498.386218000203,0.12637581803456932,B,DASCH
-25469.38502599997,-0.4725329919784125,B,DASCH
-25452.46468800027,0.14581094730179966,B,DASCH
-25450.437252999756,0.3943946162706675,B,DASCH
-25362.502001999877,-0.21742709372383473,B,DASCH
-25236.156332000162,-0.5520681167475079,B,DASCH
-25197.16888500005,-0.5049791596914073,B,DASCH
-25196.154217999894,-0.6022492311445111,B,DASCH
-25175.317004000302,-0.2379019602338479,B,DASCH
-25174.204018999822,0.03502641360528358,B,DASCH
-24822.51220300002,-0.4369278266731955,B,DASCH
-24820.48339299997,-0.0755613126845649,B,DASCH
-24810.421761999838,0.4262625627619121,B,DASCH
-24798.50722699985,0.06088722512853906,B,DASCH
-24789.430736999962,0.5018716184831353,B,DASCH
-24765.6431979998,-0.3197351165007607,B,DASCH
-24711.7221669997,-0.5043256105673732,B,DASCH
-24671.74782200018,-0.42775638933113225,B,DASCH
-24440.54316399992,0.2837602079005306,B,DASCH
-24440.483258999884,0.21100936864058628,B,DASCH
-24439.513350000143,0.285793000305806,B,DASCH
-24439.45344500011,0.1525363497324017,B,DASCH
-24438.491154000167,0.30776858960144526,B,DASCH
-24437.581150999762,0.397884101772207,B,DASCH
-24436.453689000104,0.29779347780896703,B,DASCH
-24435.475124000102,0.25113526903916306,B,DASCH
-24434.486168999694,0.376081448364908,B,DASCH
-24432.58444300014,0.41311200855346986,B,DASCH
-24432.51345699979,0.14750423366861565,B,DASCH
-24431.54631899996,-0.043439267142662885,B,DASCH
-24429.457603999883,-0.32532370418070844,B,DASCH
-24417.63655900024,0.6162443066236181,B,DASCH
-24413.47921100026,0.30096202400852423,B,DASCH
-24410.61276699975,-0.3914929005982133,B,DASCH
-24410.443784999658,-0.32911768416049014,B,DASCH
-24407.60850600013,-0.05312685975882303,B,DASCH
-24406.683958000038,0.026839543774751284,B,DASCH
-24406.506666999776,-0.5921292988075013,B,DASCH
-24406.42910199985,-0.025234847264846927,B,DASCH
-24405.61432200019,0.11509572990676453,B,DASCH
-24405.56895999983,0.06434753432989648,B,DASCH
-24404.69843100012,0.10811516746913341,B,DASCH
-24403.611134000123,0.14191935933596245,B,DASCH
