HJD,mag,Band,Survey
-35746.26569799986,16.272499,B,DASCH
-34716.136041999795,11.966532,B,DASCH
-33982.20868099993,14.593069,B,DASCH
-33892.32010800019,15.278452,B,DASCH
-32960.13794100005,11.689303,B,DASCH
-26171.47677099984,15.270272,B,DASCH
-25511.409752000123,15.930667999999999,B,DASCH
-25510.370943000074,15.751714000000002,B,DASCH
-25508.368811999913,16.280312,B,DASCH
-25507.392332000192,16.484621,B,DASCH
-25506.401308999863,15.471775,B,DASCH
-25504.341695999727,15.747213,B,DASCH
-25452.465108999982,15.853185999999999,B,DASCH
-24822.511888999958,15.701979999999999,B,DASCH
-24798.50709100021,16.410053,B,DASCH
-24765.643337999936,15.363082,B,DASCH
-24735.713080000132,15.772189000000001,B,DASCH
-24711.72262299992,16.475735,B,DASCH
-24440.483066000044,16.113871,B,DASCH
-24439.453259999864,16.154173,B,DASCH
-24432.513327000197,16.165457,B,DASCH
-24405.614417999983,15.732698999999998,B,DASCH
-24405.569056000095,15.492166000000001,B,DASCH
-24390.719266000204,15.746553,B,DASCH
-24386.62051999988,16.0016,B,DASCH
-24385.6825290001,15.593649,B,DASCH
-24385.61752999993,15.148282,B,DASCH
-24385.559530999977,15.342116,B,DASCH
-24384.676540000364,15.719976,B,DASCH
-24384.578540000133,15.914167,B,DASCH
-24382.652559000067,16.085632,B,DASCH
-24378.71459500026,15.289087,B,DASCH
-24378.650595000014,15.059409,B,DASCH
-24375.65162099991,15.965770000000001,B,DASCH
-24355.721743000206,15.590151,B,DASCH
-24355.65674300026,15.808449,B,DASCH
-24350.728759000078,16.0453,B,DASCH
-24349.727761999704,15.205387,B,DASCH
-24055.581259000115,14.855243,B,DASCH
-24053.523130000103,15.511698,B,DASCH
-23406.38943100022,15.852738,B,DASCH
-23394.424337999895,15.4402,B,DASCH
-23392.394493000116,15.980210000000001,B,DASCH
-23342.5170140001,15.797423,B,DASCH
-23279.630233000033,15.412698,B,DASCH
-23236.67853400018,15.230398999999998,B,DASCH
-22574.691360000055,15.886056,B,DASCH
-22573.72337100003,15.696337,B,DASCH
-22554.6895750002,15.218910999999999,B,DASCH
-22526.694753000047,15.778516,B,DASCH
-22318.405218999833,15.788329000000001,B,DASCH
-22299.44330199994,16.520729,B,DASCH
-22281.603236000054,15.40083,B,DASCH
-22281.538137000054,15.463315,B,DASCH
-22281.473038000055,15.40436,B,DASCH
-22281.40724699991,15.334576,B,DASCH
