HJD,MAG,BAND,SURVEY
728.8829400000003,15.682,I,OGLE
739.85292,15.59,I,OGLE
744.76124,15.456,I,OGLE
745.84586,15.632,I,OGLE
746.8317400000003,15.288,I,OGLE
747.72717,15.459000000000001,I,OGLE
748.67921,15.623,I,OGLE
750.79214,15.485,I,OGLE
751.79292,15.652999999999999,I,OGLE
752.8507400000003,15.321,I,OGLE
754.797,15.675999999999998,I,OGLE
755.77495,15.325999999999999,I,OGLE
759.70083,15.533,I,OGLE
761.78202,15.374,I,OGLE
766.8317099999997,15.488,I,OGLE
773.78726,15.469000000000001,I,OGLE
776.81245,15.499,I,OGLE
778.84186,15.31,I,OGLE
780.7728099999997,15.67,I,OGLE
782.80145,15.542,I,OGLE
788.82888,15.578,I,OGLE
792.73892,15.581,I,OGLE
795.82423,15.355,I,OGLE
798.74852,15.327,I,OGLE
817.74676,15.561,I,OGLE
819.82341,15.433,I,OGLE
824.6940900000003,15.380999999999998,I,OGLE
826.78674,15.636,I,OGLE
827.68351,15.298,I,OGLE
828.74317,15.48,I,OGLE
829.69078,15.652000000000001,I,OGLE
830.7489,15.289000000000001,I,OGLE
831.58614,15.495999999999999,I,OGLE
832.56876,15.645,I,OGLE
832.75576,15.655999999999999,I,OGLE
833.57533,15.289000000000001,I,OGLE
834.70997,15.515999999999998,I,OGLE
835.79706,15.696,I,OGLE
837.65896,15.527000000000001,I,OGLE
839.6573800000001,15.364,I,OGLE
841.7464,15.652999999999999,I,OGLE
842.73636,15.419,I,OGLE
844.59125,15.672,I,OGLE
846.76319,15.615,I,OGLE
850.75401,15.314,I,OGLE
854.7712300000003,15.509,I,OGLE
855.7009099999997,15.655,I,OGLE
856.6629,15.29,I,OGLE
857.7215699999997,15.505,I,OGLE
858.68474,15.673,I,OGLE
859.7514800000001,15.34,I,OGLE
860.64443,15.520999999999999,I,OGLE
865.5617199999997,15.335999999999999,I,OGLE
874.6804900000003,15.443,I,OGLE
880.62088,15.477,I,OGLE
885.5799900000003,15.296,I,OGLE
887.6651099999997,15.696,I,OGLE
890.6887199999999,15.690999999999999,I,OGLE
892.53549,15.550999999999998,I,OGLE
896.5034400000003,15.685,I,OGLE
919.55881,15.696,I,OGLE
931.56989,15.366,I,OGLE
950.51191,15.588,I,OGLE
1072.8950300000001,15.585,I,OGLE
1079.80342,15.454,I,OGLE
1080.80701,15.603,I,OGLE
1083.81754,15.636,I,OGLE
1084.8129900000001,15.277999999999999,I,OGLE
1086.8410099999999,15.665999999999999,I,OGLE
1090.7686800000001,15.327,I,OGLE
1092.81907,15.693,I,OGLE
1093.83113,15.373,I,OGLE
1106.76005,15.605,I,OGLE
1108.78105,15.467,I,OGLE
1114.79049,15.517000000000001,I,OGLE
1119.8337199999999,15.374,I,OGLE
1120.7382599999999,15.536,I,OGLE
1129.82236,15.607000000000001,I,OGLE
1137.80008,15.509,I,OGLE
1164.83778,15.672,I,OGLE
1166.7552699999999,15.526,I,OGLE
1167.78148,15.697000000000001,I,OGLE
1168.76413,15.325999999999999,I,OGLE
1171.73302,15.347000000000001,I,OGLE
1175.73038,15.565,I,OGLE
1183.82817,15.467,I,OGLE
1189.71728,15.494000000000002,I,OGLE
1191.75597,15.295,I,OGLE
1192.81476,15.519,I,OGLE
1193.80667,15.687999999999999,I,OGLE
1194.68232,15.311,I,OGLE
1202.76493,15.645999999999999,I,OGLE
1204.6865300000004,15.581,I,OGLE
1206.7867,15.440999999999999,I,OGLE
1207.69693,15.59,I,OGLE
1211.67344,15.423,I,OGLE
1213.63688,15.605,I,OGLE
1214.71562,15.285,I,OGLE
1215.54171,15.453,I,OGLE
1216.60979,15.630999999999998,I,OGLE
1217.6774,15.288,I,OGLE
1219.61463,15.651,I,OGLE
1221.58526,15.517000000000001,I,OGLE
1223.67541,15.325,I,OGLE
1224.55509,15.512,I,OGLE
1226.56334,15.323,I,OGLE
1227.5704,15.539000000000001,I,OGLE
1232.66,15.398,I,OGLE
1235.56116,15.407,I,OGLE
1237.54508,15.547,I,OGLE
1238.6471,15.443,I,OGLE
1241.54733,15.458,I,OGLE
1242.6183199999996,15.633,I,OGLE
1243.56444,15.287,I,OGLE
1245.533,15.625,I,OGLE
1247.66737,15.514000000000001,I,OGLE
1248.63509,15.671,I,OGLE
1251.58965,15.689,I,OGLE
1254.54352,15.69,I,OGLE
1255.5765199999996,15.366,I,OGLE
1257.60817,15.665999999999999,I,OGLE
1260.5942300000004,15.585,I,OGLE
1264.58465,15.425,I,OGLE
1266.58639,15.372,I,OGLE
1267.6025,15.462,I,OGLE
1274.58554,15.667,I,OGLE
1275.5249099999999,15.29,I,OGLE
1278.50755,15.323,I,OGLE
1281.51562,15.357999999999999,I,OGLE
1290.48535,15.424000000000001,I,OGLE
1296.57622,15.472000000000001,I,OGLE
1300.52233,15.65,I,OGLE
