ID,mag_I,mag_V,ra,dec,DASCH ID
OGLE-LMC-CEP-0619,,,05:00:07.57,-68:27:00.0,APASS_J050007.6-682700
OGLE-LMC-CEP-1591,,,05:19:30.51,-68:41:09.7,APASS_J051930.5-684110
OGLE-LMC-CEP-4629,,,04:56:26.89,-64:41:41.0,
OGLE-LMC-CEP-4628,,,04:55:40.55,-66:25:43.2,APASS_J045540.5-662543
OGLE-LMC-CEP-4689,,,05:43:47.33,-66:35:09.0,APASS_J054347.3-663509
OGLE-LMC-CEP-4691,,,05:44:50.57,-67:29:40.6,APASS_J054450.6-672941
OGLE-LMC-CEP-0992,,,05:07:15.98,-68:53:00.6,APASS_J050716.0-685301
OGLE-LMC-CEP-2253,,12.806,05:31:21.80,-70:57:25.4,APASS_J053121.8-705726
OGLE-LMC-CEP-1290,,13.558,05:13:53.69,-67:03:49.0,APASS_J051353.7-670348
OGLE-LMC-CEP-4663,,,05:25:08.28,-67:38:39.3,APASS_J052508.3-673839
OGLE-LMC-CEP-0966,,12.76,05:06:47.97,-70:02:13.4,APASS_J050648.0-700213
OGLE-LMC-CEP-0461,,14.246,04:57:01.78,-67:59:42.6,APASS_J045701.8-675943
OGLE-LMC-CEP-0943,,,05:06:08.88,-71:15:26.1,APASS_J050608.9-711526
OGLE-LMC-CEP-0512,,13.135,04:58:10.80,-69:56:58.9,APASS_J045810.8-695659
OGLE-LMC-CEP-1113,,,05:09:20.15,-70:27:27.0,APASS_J050920.1-702727
OGLE-LMC-CEP-0510,,13.728,04:58:05.58,-69:27:15.5,APASS_J045805.6-692715
OGLE-LMC-CEP-0945,,12.738,05:06:14.81,-66:40:45.9,APASS_J050614.8-664046
OGLE-LMC-CEP-0528,,13.319,04:58:32.78,-70:20:45.7,APASS_J045832.8-702046
OGLE-LMC-CEP-0328,12.088,13.124,04:54:23.76,-70:54:05.8,APASS_J045423.8-705406
OGLE-LMC-CEP-1637,,13.303,05:20:23.00,-69:02:17.5,S013203173
OGLE-LMC-CEP-0590,,13.343,04:59:41.15,-69:27:22.0,APASS_J045941.1-692722
OGLE-LMC-CEP-0986,,13.343,05:07:07.80,-68:53:19.6,APASS_J050707.8-685319
OGLE-LMC-CEP-4683,,,05:35:49.42,-66:42:01.7,APASS_J053549.4-664202
OGLE-LMC-CEP-1058,,13.492,05:08:18.26,-68:46:47.1,APASS_J050818.2-684647
OGLE-LMC-CEP-0434,,13.416,04:56:27.51,-69:22:46.7,APASS_J045627.5-692247
OGLE-LMC-CEP-0367,,13.77,04:55:06.30,-67:28:33.1,APASS_J045506.3-672833
OGLE-LMC-CEP-0068,12.748,13.584,04:45:37.19,-70:15:03.7,APASS_J044537.2-701504
OGLE-LMC-CEP-1632,12.938,14.061,05:20:17.44,-67:56:53.4,APASS_J052017.4-675653
OGLE-LMC-CEP-2019,12.630999999999998,13.603,05:26:55.90,-69:58:48.8,APASS_J052655.9-695849
OGLE-LMC-CEP-0654,,13.616,05:00:55.15,-66:38:14.2,APASS_J050055.2-663814
OGLE-LMC-CEP-3853,12.802,13.835,05:18:33.69,-67:12:53.4,APASS_J051833.7-671253
OGLE-LMC-CEP-0137,,13.351,04:49:53.77,-69:45:16.4,S0132311632
OGLE-LMC-CEP-3981,12.973,14.186,05:25:37.19,-66:24:21.7,APASS_J052537.2-662422
OGLE-LMC-CEP-3158,12.678,13.662,05:46:36.18,-68:11:03.4,APASS_J054636.2-681103
