ID;mag_I;mag_V;P;error_P;t_max;amp_I;R_21;phi_21;R_31;phi_31;mode;ra;dec;OGLE-IV ID;OGLE-III ID;OGLE-II ID;GCVS;DASCH
OGLE-LMC-CEP-0619;;;133.77926000000002;0.15162060000000002;;;;;;;F;05:00:07.57;-68:27:00.0;LMC126.4.1463;;;;True
OGLE-LMC-CEP-1591;;;118.623962;0.26634559999999996;;;;;;;F;05:19:30.51;-68:41:09.7;LMC101.2.39730;HV2447;;;True
OGLE-LMC-CEP-4629;;;108.7;0.5;;;;;;;F;04:56:26.89;-64:41:41.0;HV2883;NSV01789;;;False
OGLE-LMC-CEP-4628;;;99.2;0.5;;;;;;;F;04:55:40.55;-66:25:43.2;HV5497;;;;True
OGLE-LMC-CEP-4689;;;78.50772909999999;0.3768344;6070.17727;;;;;;F;05:43:47.33;-66:35:09.0;HV2827;;;;True
OGLE-LMC-CEP-4691;;;73.89666729999999;0.1635181;6037.39024;;;;;;F;05:44:50.57;-67:29:40.6;G458;HD270100;;;True
OGLE-LMC-CEP-0992;;;52.873684999999995;0.5317178000000001;;;;;;;F;05:07:15.98;-68:53:00.6;LMC118.1.65164;;;;True
OGLE-LMC-CEP-2253;;12.806;52.3739542;0.0335472;;;;;;;F;05:31:21.80;-70:57:25.4;LMC171.6.18892;HV2622;;;True
OGLE-LMC-CEP-1290;;13.558;48.3837411;0.0708383;;;;;;;F;05:13:53.69;-67:03:49.0;HV2369;;;;True
OGLE-LMC-CEP-4663;;;47.956202600000005;0.0324546;6044.88173;;;;;;F;05:25:08.28;-67:38:39.3;HV953;;;;True
OGLE-LMC-CEP-0966;;12.76;47.384629100000005;0.020162799999999998;;;;;;;F;05:06:47.97;-70:02:13.4;LMC120.1.40540;HV900;;;True
OGLE-LMC-CEP-0461;;14.245999999999999;45.1660779;0.0118114;;;;;;;F;04:57:01.78;-67:59:42.6;HV877;;;;True
OGLE-LMC-CEP-0943;;;42.23865;0.0123037;;;;;;;F;05:06:08.88;-71:15:26.1;LMC122.1.3754;HV2338;;;True
OGLE-LMC-CEP-0512;;13.135;39.397564;0.0188278;;;;;;;F;04:58:10.80;-69:56:58.9;LMC128.7.12809;HV2257;;;True
OGLE-LMC-CEP-1113;;;37.558690000000006;0.0257272;;;;;;;F;05:09:20.15;-70:27:27.0;LMC113.7.39583;HV909;;;True
OGLE-LMC-CEP-0510;;13.728;36.830825299999994;0.0022925000000000003;;;;;;;F;04:58:05.58;-69:27:15.5;HV879;;;;True
OGLE-LMC-CEP-0945;;12.738;36.579977;0.022239099999999998;;;;;;;F;05:06:14.81;-66:40:45.9;LMC115.5.17550;;;;True
OGLE-LMC-CEP-0528;;13.319;35.7309134;0.0016214000000000003;;;;;;;F;04:58:32.78;-70:20:45.7;HV881;;;;True
OGLE-LMC-CEP-0328;12.088;13.124;34.4486189;0.002231;6030.97413;614;452;4.995;268;3.762;F;04:54:23.76;-70:54:05.8;LMC530.02.3250D;HV873;;;True
OGLE-LMC-CEP-1637;;13.302999999999999;31.944625899999995;0.0045308;;;;;;;F;05:20:23.00;-69:02:17.5;LMC100.4.25102;;;;True
OGLE-LMC-CEP-0590;;13.343;31.786860200000003;0.0007174;;;;;;;F;04:59:41.15;-69:27:22.0;LMC509.32.11;HV882;;;True
OGLE-LMC-CEP-0986;;13.343;31.060540399999997;0.00048239999999999996;;;;;;;F;05:07:07.80;-68:53:19.6;LMC510.11.35;LMC_SC13_228645;HV899;;True
OGLE-LMC-CEP-4683;;;30.481634200000002;0.012691899999999999;6028.7600299999995;;;;;;F;05:35:49.42;-66:42:01.7;HV1002;;;;True
OGLE-LMC-CEP-1058;;13.492;30.400403700000002;0.000536;;;;;;;F;05:08:18.26;-68:46:47.1;LMC510.11.55330;LMC_SC11_162232;HV904;;True
OGLE-LMC-CEP-0434;;13.415999999999999;30.348534700000002;0.0024039;;;;;;;F;04:56:27.51;-69:22:46.7;HV875;;;;True
OGLE-LMC-CEP-0367;;13.77;29.822481699999997;0.0025258000000000004;;;;;;;F;04:55:06.30;-67:28:33.1;LMC532.28.31977;LMC132.3.1;HV872;;True
OGLE-LMC-CEP-0068;12.748;13.584000000000001;28.3738735;0.00037030000000000006;6005.00515;0.7609999999999999;0.40700000000000003;5.0569999999999995;302;3.804;F;04:45:37.19;-70:15:03.7;LMC530.24.6894;HV8036;;;True
OGLE-LMC-CEP-1632;12.937999999999999;14.061;28.193753100000002;0.0004849;6021.60544;0.5870000000000001;0.29600000000000004;4.909;201;3.2039999999999997;F;05:20:17.44;-67:56:53.4;LMC504.20.19711;HV934;;;True
OGLE-LMC-CEP-2019;12.630999999999998;13.603;28.1003147;0.00029219999999999995;6024.579629999999;715;0.38299999999999995;5.073;0.23399999999999999;3.736;F;05:26:55.90;-69:58:48.8;LMC516.15.99309;LMC_SC4_271200;HV2540;;True
