title  Photometry data for APASS_J045019.0-694302 from search centered on 04:50:19.00_-69:43:02.2 using the apass calibration catalog
REFNumber	X_IMAGE	Y_IMAGE	MAG_ISO	ra	dec	magcal_iso	magcal_iso_rms	magcal_local	magcal_local_rms	Date	FLUX_ISO	MAG_APER	MAG_AUTO	KRON_RADIUS	BACKGROUND	FLUX_MAX	THETA_J2000	ELLIPTICITY	ISOAREA_WORLD	FWHM_IMAGE	FWHM_WORLD	plate_dist	Blendedmag	limiting_mag_local	magcal_local_error	dradRMS2	magcor_local	extinction	gsc_bin_index	series	plateNumber	NUMBER	versionId	AFLAGS	BFLAGS	ISO0	ISO1	ISO2	ISO3	ISO4	ISO5	ISO6	ISO7	npoints_local	rejectFlag	local_bin_index	seriesId	exposureNumber	solutionNumber	spatial_bin	mosaicNumber	quality	plateVersionId	magdep_bin	magcal_magdep	magcal_magdep_rms	ra_2	dec_2	RaPM	DecPM	A2FLAGS	B2FLAGS	timeAccuracy	maskIndex	catalogNumber
---------	-------	-------	-------	--	---	----------	--------------	------------	----------------	----	--------	--------	--------	-----------	----------	--------	-----------	-----------	-------------	----------	----------	----------	----------	------------------	------------------	--------	------------	----------	-------------	------	-----------	------	---------	------	------	----	----	----	----	----	----	----	----	-------------	----------	---------------	--------	--------------	--------------	-----------	------------	-------	--------------	----------	-------------	-----------------	----	-----	----	-----	-------	-------	-----------	----------	-------------
404501902694302	14807.059000	7419.650000	-10.949400	72.580296	-69.716277	15.741140	0.471775	15.171009	0.359089	2412697.848460	23974.620000	-9.940600	-11.219300	3.500000	4727.511000	676.112800	-5.010000	0.298000	0.000016	12.470000	0.006818	3.855200	0.000000	15.463723	0.171036	1.749873	0.027379	0.384000	5238897	b	10208	446481	136	67641472	1382940675	50	48	43	33	27	19	12	4	30	0	842	6	0	0	5	0	896	136	2913	15.171009	99.000000	72.579684	-69.717406	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	11147.821000	8652.755000	-10.639500	72.579352	-69.717059	16.491447	0.535062	15.793853	0.170131	2412722.866328	18022.190000	-10.463800	-11.007400	3.500000	5001.312000	1096.084000	18.210000	0.185000	0.000007	6.420000	0.003518	1.850700	0.000000	15.811148	0.176201	1.746588	0.369378	0.321000	5238897	b	10273	207611	136	532608	1382940672	19	17	14	12	11	10	5	2	70	0	982	6	0	0	2	0	896	136	2952	15.793853	99.000000	72.579683	-69.717406	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	10178.350000	15744.150000	-11.036800	72.578581	-69.717809	15.139184	0.316125	14.638322	0.330407	2413496.726661	25985.150000	-10.407700	-11.305000	4.040000	3685.075000	1037.669000	-86.830000	0.249000	0.000013	8.230000	0.004505	2.729000	0.000000	15.260140	0.114308	0.980210	0.044254	0.330000	5238897	b	15004	675266	136	34078848	1382940672	44	41	34	31	23	17	11	4	39	0	1779	6	0	0	3	0	896	136	1892	14.638322	99.000000	72.579675	-69.717403	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	34920.840000	5680.306000	-13.568200	72.581086	-69.716119	16.316299	0.134387	15.860054	0.098636	2413875.807052	267466.100000	-12.630500	-13.868300	3.500000	4935.339000	1009.757000	-12.280000	0.399000	0.000017	40.030000	0.007264	3.405100	0.000000	15.917254	0.129216	0.394703	0.131621	0.322000	5238897	a	2157	374561	130	76030080	1382940675	521	477	428	365	289	195	76	8	96	0	495	1	0	0	8	0	896	130	856	15.860054	99.000000	72.579671	-69.717401	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	36929.156000	3654.555000	-14.282200	72.579562	-69.717170	16.351540	0.325778	16.114992	0.434303	2413894.748816	516286.800000	-12.486300	-14.547200	3.500000	5114.801000	1172.323000	3.860000	0.597000	0.000035	64.990000	0.011781	3.908900	0.000000	16.213268	0.291553	0.198971	-0.128062	0.320000	5238897	a	2188	172066	130	8937600	1517158403	1060	909	701	454	242	88	29	6	55	0	298	1	0	0	9	0	904	130	2023	16.114992	99.000000	72.579671	-69.717401	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	25369.812000	22616.371000	-13.505600	72.579576	-69.717281	15.447182	0.120790	15.084046	0.072638	2413922.616513	252476.200000	-13.304100	-13.539100	3.500000	4622.386000	2397.721000	57.230000	0.235000	0.000010	12.400000	0.002255	1.701700	0.000000	16.056931	0.094481	0.837177	-0.016120	0.313000	5238897	a	2193	2067580	130	524416	1382940672	305	279	238	208	176	121	85	41	36	0	1833	1	0	0	3	0	896	130	1884	15.084046	99.000000	72.579671	-69.717401	-4.700000	5.700000	0	0	0.007500	0	2
404501902694302	34996.129000	9296.060000	-13.669200	72.581199	-69.716958	16.211903	0.175897	15.763734	0.244941	2413956.582304	293535.800000	-12.688100	-13.581500	4.620000	4813.175000	1006.550000	3.330000	0.562000	0.000018	35.160000	0.006383	3.113100	0.000000	15.852172	0.111312	0.471570	0.100273	0.321000	5238897	a	2209	792131	130	8921216	1382940672	574	539	464	381	301	230	169	61	103	0	745	1	1	0	8	0	896	130	2506	15.763734	99.000000	72.579671	-69.717401	-4.700000	5.700000	0	0	0.000000	0	2
404501902694302	13142.206000	10551.688000	-13.551200	72.581493	-69.716538	15.403304	0.252408	14.860637	0.220907	2414253.734263	263329.300000	-11.418700	-13.647100	3.500000	4929.062000	2258.202000	54.360000	0.541000	0.000079	24.070000	0.013179	2.446000	14.980000	16.733061	0.266705	2.157649	0.163411	0.313000	5238897	b	20846	198206	136	35127424	1382940675	247	222	185	152	109	71	48	26	42	0	1237	6	0	0	2	0	896	136	1895	14.860637	99.000000	72.579668	-69.717400	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	10251.188000	15112.605000	-9.500900	72.580029	-69.716947	15.717164	0.380755	15.278245	0.262306	2414300.680934	6314.575000	-9.811800	-9.855900	3.500000	3460.344000	846.312300	17.870000	0.308000	0.000003	5.190000	0.002843	2.420300	0.000000	15.343797	0.127111	1.030165	-0.000825	0.342000	5238897	b	20959	329966	136	532608	1382940672	9	9	9	8	6	6	4	2	96	0	1729	6	0	0	2	0	896	136	1892	15.278245	99.000000	72.579667	-69.717399	-4.700000	5.700000	0	0	0.000700	0	2
404501902694302	3775.943000	15169.890000	-9.946700	72.577829	-69.715994	15.129276	0.350504	14.872359	0.274119	2414588.721638	9521.131000	-9.402600	-10.918000	6.790000	3395.612000	506.359700	33.620000	0.376000	0.000008	10.110000	0.005531	3.565900	0.000000	14.924990	0.109197	1.355478	-0.081083	0.338000	5238897	b	22088	347547	130	42475648	1512964096	26	22	20	18	14	8	3	2	33	0	1710	6	0	0	4	0	904	130	1884	14.872359	99.000000	72.579664	-69.717398	-4.700000	5.700000	0	0	0.000700	0	2
