title  Photometry data for S010103387315 from search centered on 05:40:39.60_-70:46:03.1 using the apass calibration catalog
REFNumber	X_IMAGE	Y_IMAGE	MAG_ISO	ra	dec	magcal_iso	magcal_iso_rms	magcal_local	magcal_local_rms	Date	FLUX_ISO	MAG_APER	MAG_AUTO	KRON_RADIUS	BACKGROUND	FLUX_MAX	THETA_J2000	ELLIPTICITY	ISOAREA_WORLD	FWHM_IMAGE	FWHM_WORLD	plate_dist	Blendedmag	limiting_mag_local	magcal_local_error	dradRMS2	magcor_local	extinction	gsc_bin_index	series	plateNumber	NUMBER	versionId	AFLAGS	BFLAGS	ISO0	ISO1	ISO2	ISO3	ISO4	ISO5	ISO6	ISO7	npoints_local	rejectFlag	local_bin_index	seriesId	exposureNumber	solutionNumber	spatial_bin	mosaicNumber	quality	plateVersionId	magdep_bin	magcal_magdep	magcal_magdep_rms	ra_2	dec_2	RaPM	DecPM	A2FLAGS	B2FLAGS	timeAccuracy	maskIndex	catalogNumber
---------	-------	-------	-------	--	---	----------	--------------	------------	----------------	----	--------	--------	--------	-----------	----------	--------	-----------	-----------	-------------	----------	----------	----------	----------	------------------	------------------	--------	------------	----------	-------------	------	-----------	------	---------	------	------	----	----	----	----	----	----	----	----	-------------	----------	---------------	--------	--------------	--------------	-----------	------------	-------	--------------	----------	-------------	-----------------	----	-----	----	-----	-------	-------	-----------	----------	-------------
12010103387315	7095.655000	7533.920000	-10.629900	85.159855	-70.767340	14.332668	0.422161	14.023439	0.639602	2411298.849243	17863.560000	-10.299100	-10.934300	3.500000	4064.546000	1202.703000	8.580000	0.145000	0.000009	6.160000	0.003377	2.083000	14.660000	14.310801	0.131504	1.385976	-0.044871	0.372000	4709702	b	4503	549610	130	9969664	1382940672	28	27	21	16	13	9	5	2	123	0	870	6	0	0	2	0	896	130	919	14.023439	99.000000	85.165420	-70.767565	-3.700000	2.600000	0	0	0.000700	0	2
12010103387315	13047.965000	13466.236000	-13.848600	85.165568	-70.767666	16.075838	0.155503	15.793105	0.136925	2413877.807749	346299.500000	-13.536200	-13.937700	3.500000	4395.994000	2674.128000	79.120000	0.025000	0.000012	12.020000	0.002188	1.176000	0.000000	16.495274	0.130172	99.000000	-0.039267	0.323000	4709702	a	2172	935424	130	557184	1382940675	358	323	268	196	152	114	75	39	66	4	1067	1	0	0	2	0	896	130	1768	15.793105	99.000000	85.165398	-70.767559	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	11690.362000	5482.964000	-13.250500	85.163462	-70.766263	15.937921	0.140052	15.510419	0.187567	2413948.573564	199616.300000	-12.879000	-13.685700	5.370000	4800.428000	1436.920000	12.670000	0.402000	0.000011	16.970000	0.003085	2.297100	0.000000	15.967587	0.075143	99.000000	0.105102	0.322000	4709702	a	2202	199118	130	8953984	1114505217	322	271	216	168	132	98	57	21	58	4	415	1	1	0	5	0	896	130	1327	15.510419	99.000000	85.165397	-70.767559	-3.700000	2.600000	0	0	0.000000	0	2
12010103387315	11343.995000	4911.258000	-14.059600	85.164551	-70.767076	16.056702	0.120839	15.711544	0.097176	2413956.582585	420581.000000	-13.505600	-14.094400	3.500000	4350.545000	2075.957000	47.140000	0.145000	0.000015	20.420000	0.003711	2.414200	0.000000	16.425591	0.163242	99.000000	0.026958	0.322000	4709702	a	2209	414282	130	8945792	1382940675	465	427	367	311	249	186	126	50	48	4	364	1	1	0	6	0	896	130	2426	15.711544	99.000000	85.165397	-70.767559	-3.700000	2.600000	0	0	0.000000	0	2
12010103387315	5300.184000	9084.920000	-12.538800	85.159726	-70.768268	16.471361	0.221553	15.791553	0.230345	2414253.734054	103640.600000	-10.915400	-12.541400	3.500000	5144.791000	1318.059000	64.180000	0.405000	0.000043	13.450000	0.007367	2.133700	14.610000	16.595919	0.282300	1.199318	0.366909	0.323000	4709702	b	20846	158485	136	13107328	1382942720	143	134	123	102	80	57	35	17	195	0	1015	6	0	0	2	0	768	136	2685	15.830275	0.187982	85.165395	-70.767559	-3.700000	2.600000	0	0	0.000700	0	2
12010103387315	1178.000000	15375.028000	-15.104000	85.162776	-70.767484	15.890212	0.421234	15.569212	0.421234	2414639.707589	1100480.000000	-13.334200	-15.287900	3.500000	5299.699000	1539.188000	13.550000	0.500000	0.000046	64.120000	0.011641	3.266500	0.000000	16.558598	99.000000	99.000000	0.075313	0.321000	4709702	a	3428	631989	130	277397632	1244266499	1336	1206	989	748	537	359	189	37	18	5	1201	1	0	0	9	0	904	130	1760	15.569212	99.000000	85.165391	-70.767558	-3.700000	2.600000	0	0	0.007500	0	2
12010103387315	6370.957000	5712.766000	-11.842000	85.160808	-70.768871	16.262526	0.185214	16.028587	0.247991	2414961.770662	54549.330000	-10.243700	-12.265300	3.500000	3782.575000	1296.025000	72.660000	0.525000	0.000023	15.850000	0.008667	3.153700	14.640000	16.468021	0.223342	0.768323	-0.085863	0.328000	4709702	b	24468	104126	130	9969792	1382940672	77	73	57	40	27	11	5	1	196	0	668	6	0	0	3	0	896	130	3287	16.028587	99.000000	85.165389	-70.767557	-3.700000	2.600000	0	0	0.000700	0	2
12010103387315	9734.387000	13947.407000	-11.163700	85.164979	-70.767744	16.643297	0.143618	16.281731	0.197215	2416377.861598	29206.200000	-10.623700	-11.194400	3.500000	4209.591000	1208.672000	62.830000	0.143000	0.000014	5.180000	0.002837	1.724100	0.000000	16.398884	0.127358	1.236554	0.024666	0.345000	4709702	b	32643	358955	136	532608	1382940675	50	47	43	31	27	21	14	8	41	0	1577	6	0	0	1	0	896	136	3071	16.281731	99.000000	85.165376	-70.767555	-3.700000	2.600000	0	0	0.000700	0	2
12010103387315	1648.097000	2034.766000	-10.010900	85.171462	-70.769056	11.580493	1.190952	10.877793	1.190952	2416712.777114	10100.440000	-7.473600	-9.959900	4.390000	4028.495000	688.452700	48.890000	0.346000	0.000122	9.670000	0.016463	21.157700	14.340000	11.210521	99.000000	99.000000	0.000000	0.694000	4709702	am	2970	211444	130	1343797248	1114243075	42	40	33	23	15	10	4	2	0	5	204	5	0	0	8	0	384	130	847	10.877793	99.000000	85.165374	-70.767554	-3.700000	2.600000	0	0	0.000700	0	2
