title  Photometry data for DASCH_J055307.9-693022 from search centered on 05:53:07.87_-69:30:22.1 using the apass calibration catalog
REFNumber	X_IMAGE	Y_IMAGE	MAG_ISO	ra	dec	magcal_iso	magcal_iso_rms	magcal_local	magcal_local_rms	Date	FLUX_ISO	MAG_APER	MAG_AUTO	KRON_RADIUS	BACKGROUND	FLUX_MAX	THETA_J2000	ELLIPTICITY	ISOAREA_WORLD	FWHM_IMAGE	FWHM_WORLD	plate_dist	Blendedmag	limiting_mag_local	magcal_local_error	dradRMS2	magcor_local	extinction	gsc_bin_index	series	plateNumber	NUMBER	versionId	AFLAGS	BFLAGS	ISO0	ISO1	ISO2	ISO3	ISO4	ISO5	ISO6	ISO7	npoints_local	rejectFlag	local_bin_index	seriesId	exposureNumber	solutionNumber	spatial_bin	mosaicNumber	quality	plateVersionId	magdep_bin	magcal_magdep	magcal_magdep_rms	ra_2	dec_2	RaPM	DecPM	A2FLAGS	B2FLAGS	timeAccuracy	maskIndex	catalogNumber
---------	-------	-------	-------	--	---	----------	--------------	------------	----------------	----	--------	--------	--------	-----------	----------	--------	-----------	-----------	-------------	----------	----------	----------	----------	------------------	------------------	--------	------------	----------	-------------	------	-----------	------	---------	------	------	----	----	----	----	----	----	----	----	-------------	----------	---------------	--------	--------------	--------------	-----------	------------	-------	--------------	----------	-------------	-----------------	----	-----	----	-----	-------	-------	-----------	----------	-------------
305530792693022	5446.408000	13528.624000	-10.403900	88.282745	-69.505989	15.909700	0.268116	15.627800	0.249807	2422609.887956	14505.850000	-10.296500	-10.253500	5.760000	2217.400000	1252.761000	46.820000	0.465000	0.000005	6.020000	0.003078	2.134100	0.000000	16.131187	0.147553	1.257800	-0.030100	0.312000	5343578	mf	7276	234776	131	192	7208961	20	20	19	19	15	13	9	5	152	0	1515	27	0	0	2	0	644	131	3007	15.627800	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	6702.451000	12413.535000	-14.270800	88.281559	-69.506023	15.322494	0.089166	14.914361	0.080972	2423529.516097	510859.200000	-13.609500	-14.372700	3.760000	4284.682000	2355.671000	-68.720000	0.586000	0.000019	37.350000	0.006791	2.337200	0.000000	16.354610	0.088448	0.598666	0.007133	0.401000	5343578	a	12326	768812	130	100663296	7208963	576	525	445	351	249	187	126	63	39	0	958	1	0	0	6	0	644	130	1741	14.914361	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	6102.062000	11550.544000	-14.233700	88.282812	-69.505432	15.789179	0.111724	15.363200	0.106014	2423706.777950	493716.200000	-13.497500	-14.489500	3.550000	4209.856000	2195.527000	32.800000	0.515000	0.000015	39.430000	0.007168	2.486100	0.000000	16.273125	0.080258	0.509142	0.071979	0.354000	5343578	a	12788	539397	130	100663424	7208963	438	412	374	314	261	210	146	53	45	0	907	1	0	0	6	0	644	130	2511	15.363200	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	6422.824000	12558.842000	-13.428900	88.284569	-69.504403	15.949020	0.096467	15.690919	0.096441	2423738.784801	235268.400000	-12.769200	-13.774400	4.470000	4890.190000	1641.931000	24.540000	0.668000	0.000011	34.420000	0.006257	2.379300	0.000000	16.358341	0.074610	0.582183	-0.052899	0.311000	5343578	a	12851	584191	130	67109056	7208963	329	321	300	267	218	142	67	16	41	0	1008	1	0	0	5	0	4740	130	2533	15.690919	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	12197.266000	22857.945000	-13.693500	88.282127	-69.506595	16.362728	0.108001	16.050285	0.093065	2425940.527764	300181.300000	-13.526800	-13.861300	4.800000	4101.664000	2547.146000	52.660000	0.147000	0.000008	12.270000	0.002232	1.817500	0.000000	16.661491	0.087947	0.647851	-0.057557	0.370000	5343578	a	14366	788338	130	192	7208963	257	240	199	160	133	100	74	36	31	0	1815	1	0	0	4	0	644	130	2669	16.050285	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	5891.608000	11977.590000	-13.863800	88.283967	-69.506412	16.064699	0.116542	15.700184	0.084098	2426055.295937	351163.300000	-13.230100	-14.029800	4.560000	4139.446000	1706.664000	-76.250000	0.612000	0.000014	42.450000	0.007715	2.496800	0.000000	16.272556	0.056363	0.786904	-0.043485	0.408000	5343578	a	14611	520476	130	33554624	7208963	431	396	333	271	202	146	82	29	72	0	957	1	0	0	6	0	4740	130	1323	15.700184	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	6511.052000	11359.048000	-13.965500	88.281063	-69.506447	15.324099	0.136429	14.868249	0.059316	2426308.517755	385662.900000	-13.449800	-13.991600	3.690000	4282.777000	2281.093000	41.240000	0.454000	0.000014	33.110000	0.006017	2.425300	0.000000	16.256020	0.076558	0.717595	0.085850	0.370000	5343578	a	15041	700862	130	100663424	7208963	420	385	325	272	202	143	93	35	45	0	908	1	0	0	6	0	644	130	2115	14.868249	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	6571.868000	10521.032000	-12.975500	88.280868	-69.506243	15.585140	0.129504	15.252055	0.107967	2426441.229045	154955.100000	-12.716200	-13.090000	4.210000	3846.680000	1425.858000	23.210000	0.118000	0.000009	15.210000	0.002764	2.468700	0.000000	16.127295	0.078795	0.851652	-0.067915	0.401000	5343578	a	15278	752109	130	0	7208963	261	247	218	172	126	87	58	24	57	0	808	1	0	0	6	0	644	130	2907	15.252055	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
305530792693022	7138.536000	10221.768000	-13.682200	88.279827	-69.506120	15.937928	0.105751	15.534055	0.127933	2426453.220105	297096.400000	-13.513200	-13.669600	3.680000	2899.171000	2926.402000	61.260000	0.104000	0.000008	13.520000	0.002458	2.393100	0.000000	16.241665	0.106580	0.800850	-0.015127	0.419000	5343578	a	15298	793975	130	192	7208963	237	229	209	183	150	107	64	27	113	0	809	1	0	0	5	0	644	130	2490	15.534055	99.000000	999.000000	99.000000	999999.000000	999999.000000	0	0	0.007500	0	2
