HJD,mag,Band,Survey
2417075.903973,4.020576914043076,B,DASCH
2418612.801231,4.143581504009172,B,DASCH
2421202.67808,3.9967978478256816,B,DASCH
2421204.728002,3.8957369546489304,B,DASCH
2421316.49187,4.049892226427661,B,DASCH
2421316.499487,3.921466688434098,B,DASCH
2422000.576421,4.047105163481785,B,DASCH
2425264.2870779997,4.160257707129678,B,DASCH
2425542.6070919996,3.880521747620292,B,DASCH
2425622.411538,4.123179263164596,B,DASCH
2425649.336427,4.0241392671179455,B,DASCH
2425959.289764,4.0030781402614615,B,DASCH
2426410.2714529997,4.112212668162381,B,DASCH
2426687.454395,4.09239078893719,B,DASCH
2426763.321659,4.021849617489492,B,DASCH
2426946.623592,4.47697395511349,B,DASCH
2427310.577594,4.270879221590412,B,DASCH
2427421.311755,4.376924754726318,B,DASCH
2427421.343754,4.372003431970993,B,DASCH
2427426.2637099996,4.053839183129289,B,DASCH
2427456.275494,4.288342327602183,B,DASCH
2427456.3084939998,4.279959295711701,B,DASCH
2427457.310489,3.984235327493745,B,DASCH
2427683.579618,3.969336982978596,B,DASCH
2427718.581872,4.179734244924373,B,DASCH
2427728.4643240003,4.2395120447096595,B,DASCH
2427749.409128,4.439235795653481,B,DASCH
2427749.489127,4.381388755843498,B,DASCH
2427776.523852,4.330480894481202,B,DASCH
2427786.314757,4.45590563940417,B,DASCH
2427800.282635,4.513978575089825,B,DASCH
2427800.5546330004,4.064921905754248,B,DASCH
2427807.289582,3.918103964272615,B,DASCH
2427811.273555,4.347046223371419,B,DASCH
2428075.5012439997,3.656255529586699,B,DASCH
2428136.354561,3.942406710769719,B,DASCH
2428171.278418,3.8281885579359716,B,DASCH
2428188.375945,3.826097984232224,B,DASCH
2428761.607595,4.469805562858052,B,DASCH
2428762.595174,4.029913851406104,B,DASCH
2429102.61753,4.37019764743731,B,DASCH
2429158.484123,4.009563038508744,B,DASCH
2429188.5913319997,3.9986647376084763,B,DASCH
2429202.385207,3.9469553191549003,B,DASCH
2429587.337009,4.142938654668978,B,DASCH
2429970.499828,4.3346128258962,B,DASCH
2430206.643563,4.024029222370677,B,DASCH
2430313.4480540003,4.049897479820119,B,DASCH
2430322.4459619997,3.9760251045656827,B,DASCH
2430324.303943,4.42455588166683,B,DASCH
2430346.270728,4.214838242808451,B,DASCH
2430372.270528,4.287697542801608,B,DASCH
2430372.325528,4.292135553450842,B,DASCH
2430373.269522,4.39489080394231,B,DASCH
2430619.4335330003,4.258097441246958,B,DASCH
2430619.5615330003,3.9124593323241927,B,DASCH
2430665.492187,4.018572606573367,B,DASCH
2431107.449502,4.354684103015954,B,DASCH
2431108.453497,4.175702404460407,B,DASCH
2431461.2651810003,3.9452145107910863,B,DASCH
2431669.6325689997,4.391336192708957,B,DASCH
2431701.532581,4.412253819003049,B,DASCH
2431703.628575,4.517097984232224,B,DASCH
2431704.548573,4.408879205584951,B,DASCH
2431712.516545,4.441834289459568,B,DASCH
2431738.550388,4.496347084025074,B,DASCH
2431740.447373,4.496298974009937,B,DASCH
2432060.5815919996,3.898340978341814,B,DASCH
2432528.393723,3.857851147211433,B,DASCH
2432529.349432,3.841420747559071,B,DASCH
2432529.3909830004,3.845960231631037,B,DASCH
2433297.378276,4.14219571437775,B,DASCH
2433595.380109,4.11248860951357,B,DASCH
2434327.544092,4.045755871103225,B,DASCH
2434327.567092,4.132342009093508,B,DASCH
2434327.591092,3.982938845534101,B,DASCH
2434387.374545,4.010757494056977,B,DASCH
