HJD,mag,Band,Survey
-38701.18569799978,14.468616,B,DASCH
-37302.15172499977,15.81744,B,DASCH
-37277.13380099973,16.242765,B,DASCH
-36880.16217099968,14.896115,B,DASCH
-36503.27332299994,14.17203,B,DASCH
-36503.23869600007,14.425142999999998,B,DASCH
-36152.18619599985,14.757775,B,DASCH
-36152.15865200013,15.082451,B,DASCH
-36123.18589399988,15.126881,B,DASCH
-36122.191902999766,15.407869,B,DASCH
-36105.25106099993,15.743898000000002,B,DASCH
-36077.38330299966,15.35382,B,DASCH
-36077.30630300008,15.506682999999999,B,DASCH
-36051.426463999785,15.186274,B,DASCH
-36051.41430600034,14.941616,B,DASCH
-36043.41749599995,15.598849,B,DASCH
-35748.31971100019,14.249741,B,DASCH
-35747.39378200006,14.312492,B,DASCH
-35746.26563199982,13.739260999999999,B,DASCH
-35415.21169999987,15.078016,B,DASCH
-35386.29109199997,14.446316,B,DASCH
-35360.292191999964,14.960695000000001,B,DASCH
-35038.2289669998,15.261245,B,DASCH
-34709.13183399988,14.914223999999999,B,DASCH
-34690.12565900013,15.278935999999998,B,DASCH
-34627.27606400009,15.762498,B,DASCH
-34380.11451300001,14.374757,B,DASCH
-34273.281971000135,14.741504999999998,B,DASCH
-33986.16330000013,14.586104999999998,B,DASCH
-33183.356058999896,15.751672,B,DASCH
-33179.43309599999,15.66187,B,DASCH
-33179.34909599973,15.716907999999998,B,DASCH
-33179.253097000066,15.687532999999998,B,DASCH
-33179.162097999826,15.656851999999999,B,DASCH
-33176.36212400021,15.035653,B,DASCH
-33144.427379999775,14.898878,B,DASCH
-33143.44338699989,15.059626999999999,B,DASCH
-32924.09608600009,15.100774,B,DASCH
-32436.272208999842,14.620832,B,DASCH
-32409.41640800005,14.725298,B,DASCH
-32066.393248000182,16.048328,B,DASCH
-32033.409465000033,14.838410000000001,B,DASCH
-31369.197486000136,14.528241,B,DASCH
-31352.195238000248,13.442526,B,DASCH
-27390.111622999888,15.057657,B,DASCH
-26534.403524999972,14.727657999999998,B,DASCH
-26513.45551900007,15.845804000000001,B,DASCH
-26510.461513000075,15.571223000000002,B,DASCH
-26509.427509999834,15.434235000000001,B,DASCH
-26470.484306000173,15.818764000000002,B,DASCH
-26332.13146399986,14.738564000000002,B,DASCH
-26318.120500000194,14.553818,B,DASCH
-26317.124502999708,14.733195000000002,B,DASCH
-26316.12850699993,14.90185,B,DASCH
-26293.221631000284,15.926464000000001,B,DASCH
-26267.32083800016,15.94723,B,DASCH
-26265.198857000098,16.012332999999998,B,DASCH
-26262.151885000058,15.534443,B,DASCH
-26261.214893999975,14.769302,B,DASCH
-26259.20991199976,14.783427,B,DASCH
-26258.165922000073,14.928823999999999,B,DASCH
-26247.36202300014,15.409796,B,DASCH
-26171.47652200004,14.87371,B,DASCH
-26124.47343100002,15.328854000000002,B,DASCH
-26099.49926199997,14.891839000000001,B,DASCH
-26092.50120400032,15.981519,B,DASCH
-25948.18051799992,15.921163,B,DASCH
-25943.166540999897,15.052238000000001,B,DASCH
-25934.19559099991,15.923672,B,DASCH
-25918.250702000223,16.141742999999998,B,DASCH
-25915.309725999832,15.3806,B,DASCH
-25639.104516999796,14.832332999999998,B,DASCH
-25609.095414000098,12.857714,B,DASCH
-25591.1494880002,15.216763,B,DASCH
-25591.104488000274,15.294170999999999,B,DASCH
-25587.228500999976,15.717547,B,DASCH
-25581.199525999837,14.758698999999998,B,DASCH
-25566.29330699984,13.328673,B,DASCH
-25560.201648000162,15.638086999999999,B,DASCH
-25537.273833999876,14.515908999999999,B,DASCH
-25511.409653000068,15.521737,B,DASCH
-25510.37083999999,15.611555,B,DASCH
-25508.368700999767,14.679923,B,DASCH
-25507.392217000015,14.647844000000001,B,DASCH
-25506.40119000012,14.823307000000002,B,DASCH
-25504.341570000164,15.382723,B,DASCH
-25498.386190999765,15.458582999999999,B,DASCH
-25452.464860999957,15.397722,B,DASCH
-25450.43743300019,14.037021,B,DASCH
-25362.50220800005,14.388201,B,DASCH
-25197.168632999994,15.830392999999999,B,DASCH
-25175.31680499995,14.703822,B,DASCH
-25118.445524999872,12.03776,B,DASCH
-24822.511968999635,15.64799,B,DASCH
-24810.421560999937,15.184854999999999,B,DASCH
-24798.507067999803,14.703959,B,DASCH
-24790.435144999996,14.132767000000001,B,DASCH
-24735.712845999748,15.380811999999999,B,DASCH
-24711.72237299988,14.657673,B,DASCH
-24469.45421899995,14.317924,B,DASCH
-24456.447908999864,14.675820000000002,B,DASCH
-24440.542977999896,15.287689000000002,B,DASCH
-24440.483074000105,15.344539000000001,B,DASCH
-24439.51316800015,15.52834,B,DASCH
-24439.45326300012,15.262104999999998,B,DASCH
-24438.49097599974,14.737376999999999,B,DASCH
-24437.580976000056,14.508804000000001,B,DASCH
-24436.453516999725,14.605807999999998,B,DASCH
-24435.474956000224,14.157171,B,DASCH
-24434.48600499984,15.084598000000002,B,DASCH
-24432.584286000114,15.359682000000001,B,DASCH
-24432.513300000224,15.213364000000002,B,DASCH
-24431.546165999956,15.774779,B,DASCH
-24417.636462999973,15.632795999999999,B,DASCH
-24413.479133999906,16.028122,B,DASCH
-24410.61270299973,14.416654000000001,B,DASCH
-24410.443722000346,15.157128,B,DASCH
-24407.60845600022,14.555767000000001,B,DASCH
-24406.683911999688,14.601792999999999,B,DASCH
-24406.42905699974,14.801289,B,DASCH
-24405.614279999863,15.117142000000001,B,DASCH
-24405.56891899975,14.3145,B,DASCH
-24404.698394000065,15.192085999999998,B,DASCH
-24403.611102999654,15.183765,B,DASCH
-24401.55355900014,15.90187,B,DASCH
-24397.474484999664,15.475957999999999,B,DASCH
-24386.620320999995,14.519882,B,DASCH
-24385.682327999733,15.880172,B,DASCH
-24385.61732900003,15.978203,B,DASCH
-24385.5593290003,15.787139000000002,B,DASCH
-24384.676336000208,16.011255,B,DASCH
-24384.578335999977,15.912434,B,DASCH
-24383.71734300023,15.258118,B,DASCH
-24383.65134300012,15.611007,B,DASCH
-24383.58734399965,15.714432999999998,B,DASCH
-24382.652350000106,15.464568,B,DASCH
-24378.714376999997,13.882426999999998,B,DASCH
-24378.650377000216,13.704873999999998,B,DASCH
-24378.55237799976,14.510219000000001,B,DASCH
-24377.58838400012,15.181318,B,DASCH
-24376.6183910002,15.254385999999998,B,DASCH
-24375.715396000072,14.695362,B,DASCH
-24375.651397000067,15.314269,B,DASCH
-24375.58539699996,14.973123999999999,B,DASCH
-24355.72149399994,15.902695000000001,B,DASCH
-24355.656493999995,16.145077,B,DASCH
-24354.654498000164,15.619101,B,DASCH
-24350.728509000037,14.389967,B,DASCH
-24350.663509000093,14.382929,B,DASCH
-24349.727511999663,14.596238,B,DASCH
-24349.629511999898,14.692419000000001,B,DASCH
-24348.697513999883,14.898804,B,DASCH
-24322.749520999845,14.974541,B,DASCH
-24150.354456999805,15.396497,B,DASCH
-24149.36145700002,14.925516,B,DASCH
-24073.47385900002,15.061036999999999,B,DASCH
-24047.48810000019,15.135964999999999,B,DASCH
-24022.667072999757,15.713920000000002,B,DASCH
-24002.644592999946,14.425638000000001,B,DASCH
