ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,JD,mag,errmag
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2167.83852,15.343,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2173.84588,15.261,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2190.78366,15.415,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2192.81843,15.181,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2214.78575,15.551,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2224.74253,15.23,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2226.84669,15.529,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2229.65861,15.446,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2232.81719,15.436,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2234.81161,15.201,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2239.59656,15.494,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2241.65811,15.285,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2243.71669,15.586,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2248.79332,15.409,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2250.84219,15.185,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2252.64834,15.522,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2254.63927,15.311,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2257.64314,15.272,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2261.75749,15.428,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2264.74781,15.375,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2266.64079,15.238,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2270.6369,15.271,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2271.7877,15.488,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2273.72418,15.258,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2275.82461,15.614,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2277.64625,15.384,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2279.8186,15.17,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2281.80543,15.543,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2283.83965,15.333,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2288.74579,15.612,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2290.78416,15.426,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2292.76068,15.186,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2294.73572,15.529,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2296.74612,15.34,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2298.76553,15.367,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2300.71855,15.481,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2302.69635,15.244,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2304.74069,15.615,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2321.66874,15.161,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2327.55448,15.579,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2333.56449,15.58,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2339.54097,15.514,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2357.51217,15.256,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2395.51312,15.322,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2526.90528,15.564,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2542.88422,15.555,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2556.8269,15.18,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2559.87673,15.35,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2564.84336,15.446,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2573.84278,15.313,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2578.76713,15.622,0.007
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2583.82159,15.384,0.006
OGLE-LMC-CEP-1614,05:19:58.73,-69:19:15.3,OGLE3/OGLE4,I,1155,2589.85295,15.303,0.006
