ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,JD,mag,errmag
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,2994.70779,16.359,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3010.75121,16.268,0.007
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3326.79276,16.325,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3336.82883,16.365,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3352.76289,16.261,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3357.73177,15.818,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3362.80904,16.308,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3365.79641,16.22,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3372.81204,16.332,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3381.71977,16.046,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3386.81848,16.444,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3396.7811,16.444,0.007
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3717.71053,16.223,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3720.79535,16.16,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3732.80165,15.699,0.004
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3740.66933,16.19,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3749.72081,15.881,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3756.67426,16.052,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3766.64985,16.098,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,3774.57663,16.421,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4059.70746,16.205,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4072.79317,16.182,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4078.66115,15.901,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4109.82282,16.369,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4372.8902,16.349,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4382.89773,16.367,0.009
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4394.84828,16.085,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4409.78421,16.446,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4422.77027,16.448,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4434.80225,16.241,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4461.69673,16.36,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4468.7732,16.449,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4476.73894,15.943,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4483.83467,16.145,0.005
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4511.64701,16.454,0.006
OGLE-LMC-CEP-2356,05:33:23.41,-71:37:46.4,OGLE3/OGLE4,V,167,4542.60398,15.988,0.005
