epoch,mag,errmag
2450456.58698,13.858,0.015
2450456.62421,13.861,0.017
2450456.70743,13.866,0.011
2450456.7549,13.876,0.015
2450456.80633,13.864,0.008
2450457.55466,13.882,0.015
2450457.5986,13.892,0.017
2450457.65727,13.867,0.008
2450457.71582,13.852,0.017
2450457.7745,13.845,0.011
2450458.63099,13.516,0.014
2450458.68971,13.534,0.006
2450458.75891,13.497,0.01
2450459.54825,13.426,0.01
2450459.59446,13.418,0.01
2450459.653,13.401,0.01
2450459.71247,13.408,0.01
2450459.75624,13.395,0.01
2450459.80009,13.407,0.014
2450461.603,13.44,0.015
2450461.6616,13.437,0.011
2450461.72778,13.445,0.015
2450461.78977,13.436,0.011
2450462.55969,13.454,0.011
2450462.61833,13.461,0.014
2450465.66316,13.583,0.007
2450465.71083,13.586,0.017
2450465.79569,13.612,0.014
2450466.64692,13.678,0.015
2450466.71343,13.689,0.011
2450466.7984,13.683,0.01
2450467.65056,13.742,0.011
2450467.75517,13.801,0.014
2450468.65725,13.852,0.004
2450468.72742,13.848,0.013
2450468.78603,13.853,0.015
2450469.65812,13.903,0.013
2450469.73493,13.905,0.013
2450469.79514,13.917,0.01
2450470.73291,13.938,0.006
2450471.64397,13.884,0.015
2450471.78073,13.872,0.01
2450472.61853,13.844,0.01
2450472.66241,13.866,0.013
2450472.70618,13.865,0.011
2450472.77214,13.869,0.015
2450472.8455,13.888,0.015
2450473.68621,13.853,0.006
2450474.69812,13.494,0.01
2450474.76457,13.543,0.011
2450475.53251,13.426,0.004
2450475.59129,13.414,0.007
2450475.65744,13.413,0.01
2450475.75666,13.403,0.008
2450476.7376,13.426,0.01
2450477.52925,13.426,0.014
2450477.57482,13.441,0.013
2450477.72799,13.462,0.015
2450477.85312,13.451,0.017
2450478.53539,13.477,0.015
2450478.7558,13.462,0.015
2450478.81474,13.474,0.017
2450479.53422,13.489,0.013
2450479.77018,13.499,0.011
2450479.81576,13.503,0.011
2450480.57026,13.539,0.008
2450480.65143,13.547,0.015
2450480.74503,13.548,0.01
2450480.78911,13.557,0.01
2450481.55546,13.608,0.015
2450481.70386,13.597,0.014
2450481.74783,13.597,0.011
2450481.79179,13.599,0.011
2450482.78262,13.671,0.014
2450483.57097,13.747,0.004
2450483.61539,13.749,0.013
2450483.6593,13.757,0.01
2450483.70328,13.748,0.011
2450483.74717,13.749,0.01
2450483.7911,13.762,0.01
2450484.56964,13.834,0.01
2450484.67832,13.834,0.014
2450484.72269,13.828,0.015
2450484.76671,13.848,0.014
2450485.5733,13.905,0.013
2450485.7202,13.902,0.013
2450485.76435,13.921,0.011
2450486.56976,13.932,0.013
2450486.61535,13.96,0.017
2450486.71189,13.948,0.011
2450486.75705,13.918,0.01
2450487.64496,13.884,0.011
2450487.6928,13.862,0.01
2450487.73695,13.88,0.013
2450487.78111,13.875,0.013
2450488.58225,13.846,0.013
2450488.69507,13.858,0.013
2450488.73909,13.861,0.01
2450488.78315,13.876,0.008
2450489.64697,13.866,0.014
2450489.6909,13.85,0.015
2450489.73482,13.84,0.013
2450489.77885,13.831,0.013
2450490.55126,13.532,0.013
2450490.68845,13.487,0.01
2450491.57576,13.403,0.008
2450491.62757,13.414,0.007
2450491.67169,13.409,0.011
2450491.78506,13.399,0.014
2450492.55992,13.423,0.006
2450492.63427,13.428,0.01
2450492.68014,13.408,0.01
2450493.56295,13.439,0.014
2450494.55768,13.466,0.007
2450494.60161,13.451,0.017
2450494.64584,13.446,0.014
2450494.69014,13.453,0.017
2450494.73516,13.448,0.015
2450495.56048,13.477,0.007
2450495.63412,13.521,0.007
2450495.6876,13.498,0.007
2450496.55589,13.526,0.011
2450496.60064,13.545,0.007
2450496.64471,13.539,0.01
2450496.68962,13.542,0.007
2450497.58361,13.587,0.01
2450498.55495,13.673,0.013
2450498.71274,13.665,0.014
2450498.75667,13.676,0.008
2450499.5499,13.734,0.013
2450499.73589,13.741,0.015
2450500.57743,13.83,0.007
2450500.59264,13.849,0.011
2450500.6375,13.829,0.008
2450500.68867,13.836,0.008
2450500.73308,13.842,0.014
2450501.55677,13.891,0.011
2450501.67555,13.899,0.01
2450507.54521,13.404,0.011
2450507.59042,13.413,0.01
2450509.54113,13.45,0.008
2450509.58818,13.435,0.008
2450509.6405,13.454,0.007
2450510.58274,13.464,0.007
2450510.62829,13.443,0.01
2450510.6759,13.461,0.007
2450511.66818,13.498,0.011
2450512.5748,13.541,0.007
2450512.69749,13.559,0.011
2450513.6007,13.583,0.007
2450513.73962,13.597,0.017
2450514.56338,13.653,0.008
2450514.63245,13.667,0.013
2450514.68281,13.67,0.011
2450514.72966,13.665,0.011
2450515.55751,13.736,0.014
2450515.61042,13.747,0.013
2450515.66052,13.743,0.011
2450516.56382,13.824,0.007
2450516.61801,13.82,0.008
2450516.665,13.838,0.01
2450516.71153,13.842,0.014
2450517.56181,13.901,0.013
2450517.61169,13.901,0.008
2450517.70783,13.921,0.015
2450518.59916,13.935,0.017
2450518.64442,13.925,0.014
2450518.69349,13.937,0.01
2450519.60642,13.857,0.011
2450519.67397,13.874,0.01
2450520.7006,13.891,0.01
2450521.55609,13.887,0.006
2450521.66399,13.869,0.007
2450523.61645,13.419,0.01
2450524.5574,13.416,0.01
2450524.60752,13.419,0.011
2450527.66993,13.513,0.015
2450530.56006,13.677,0.008
2450531.55745,13.772,0.007
2450536.56231,13.862,0.01
2450537.51172,13.911,0.014
2450537.61192,13.869,0.014
2450537.65874,13.874,0.014
2450538.49972,13.54,0.01
2450538.55144,13.532,0.013
2450539.61946,13.412,0.014
2450540.6696,13.423,0.014
2450541.51869,13.447,0.013
2450541.57576,13.458,0.014
2450542.60718,13.461,0.013
2450542.65131,13.466,0.013
2450543.59011,13.505,0.015
2450544.49886,13.541,0.015
2450544.54311,13.541,0.01
2450544.58735,13.542,0.01
2450544.63259,13.553,0.01
2450551.48856,13.885,0.007
2450552.49687,13.85,0.014
2450553.50524,13.901,0.015
2450553.61603,13.862,0.01
2450554.48205,13.533,0.013
2450554.56749,13.493,0.01
2450555.48838,13.409,0.007
2450560.49762,13.536,0.014
2450561.49765,13.581,0.01
2450565.50615,13.917,0.01
2450566.50014,13.962,0.015
2450567.50123,13.9,0.013
2450569.49629,13.893,0.013
2450571.48211,13.426,0.011
2450572.51061,13.429,0.014
2450573.51445,13.452,0.01
2450574.47287,13.47,0.011
2450575.47151,13.487,0.013
2450576.48656,13.561,0.011
2450577.48046,13.587,0.013
