epoch,mag,errmag
2450799.78655,14.427,0.01
2450822.657,14.33,0.013
2450825.80691,14.754,0.01
2450875.71094,14.812,0.015
2450894.63562,14.436,0.007
2451152.78539,14.024,0.008
2451156.78121,14.595,0.007
2451160.73785,14.666,0.01
2451166.7151,14.351,0.011
2451222.71048,14.002,0.007
2451233.72417,14.369,0.007
2451241.61559,14.824,0.013
2451259.60645,14.039,0.006
2451472.81834,13.931,0.007
2451477.75256,14.714,0.013
2451494.84073,14.336,0.007
2451499.75129,14.447,0.01
2451524.80453,14.639,0.013
2451545.79867,14.299,0.011
2451550.70456,14.85,0.014
2451562.68713,14.852,0.008
2451576.7107,14.496,0.01
2451583.7008,14.582,0.008
2451590.67302,13.874,0.013
2451593.64668,14.326,0.013
2451612.69433,14.452,0.006
2451621.60585,14.881,0.008
2451623.62508,14.578,0.007
2451629.62935,14.398,0.008
