ID_OGLE,RAJ2000.0,DECJ2000.0,N_epoch_OGLE,ID_DASCH,N_epoch_DASCH,ID_EROS,N_epoch_EROS,ID_MACHO,N_epoch_Macho,N_total,OGLE_Period
OGLE-LMC-CEP-0002,04:31:47.05,-69:49:09.5,853,0,0.0,0,0.0,0,0.0,853.0,3.1181490000000003
OGLE-LMC-CEP-0005,04:35:31.52,-69:44:05.8,454,0,0.0,0,0.0,0,0.0,454.0,5.6119490999999995
OGLE-LMC-CEP-0012,04:37:48.74,-67:12:51.9,855,0,0.0,0,0.0,0,0.0,855.0,2.6601839
OGLE-LMC-CEP-0016,04:38:32.53,-67:38:46.8,854,S0132321335,689.0,0,0.0,0,0.0,1543.0,10.564274900000001
OGLE-LMC-CEP-0017,04:38:56.83,-69:41:18.3,843,0,0.0,0,0.0,0,0.0,843.0,3.6772904000000004
OGLE-LMC-CEP-0018,04:38:58.98,-68:57:24.8,633,0,0.0,0,0.0,0,0.0,633.0,4.0478369
OGLE-LMC-CEP-0021,04:39:30.98,-69:15:42.6,748,0,0.0,0,0.0,0,0.0,748.0,5.4579579
OGLE-LMC-CEP-0023,04:40:47.48,-68:59:08.4,817,0,0.0,0,0.0,0,0.0,817.0,1.7018186999999998
OGLE-LMC-CEP-0025,04:40:54.37,-69:06:54.3,483,0,0.0,lm0130k10679,643.0,0,0.0,1126.0,3.7334902000000003
OGLE-LMC-CEP-0026,04:41:12.24,-68:47:59.1,807,0,0.0,0,0.0,0,0.0,807.0,2.5706724
OGLE-LMC-CEP-0027,04:41:19.48,-67:20:08.1,846,0,0.0,0,0.0,0,0.0,846.0,3.5229123999999996
OGLE-LMC-CEP-0028,04:41:26.93,-69:37:54.3,795,0,0.0,lm0132n12162,1050.0,0,0.0,1845.0,1.2629537
OGLE-LMC-CEP-0033,04:41:57.93,-69:26:00.8,479,S013231175604,401.0,lm0132m5929,507.0,0,0.0,1387.0,7.1807603
OGLE-LMC-CEP-0034,04:42:01.91,-70:38:49.0,820,APASS_J044201.9-703849,625.0,0,0.0,46-276-7,136.0,1581.0,11.255274900000002
OGLE-LMC-CEP-0035,04:42:06.31,-67:58:11.6,482,S0132323522,763.0,0,0.0,0,0.0,1245.0,6.9435423
OGLE-LMC-CEP-0037,04:42:14.88,-68:26:10.6,830,0,0.0,0,0.0,0,0.0,830.0,3.06691
OGLE-LMC-CEP-0039,04:42:38.01,-68:30:59.3,853,0,0.0,0,0.0,0,0.0,853.0,3.1477882
OGLE-LMC-CEP-0040,04:42:47.26,-69:49:00.5,832,0,0.0,lm0134m11259,955.0,0,0.0,1787.0,5.1651068
OGLE-LMC-CEP-0041,04:42:53.74,-67:25:59.8,729,0,0.0,0,0.0,0,0.0,729.0,2.9106644
OGLE-LMC-CEP-0042,04:43:01.62,-70:10:01.6,850,0,0.0,lm0136m11013,424.0,46-404-8,148.0,1422.0,2.5770257
OGLE-LMC-CEP-0044,04:43:10.48,-67:14:00.9,844,0,0.0,0,0.0,0,0.0,844.0,4.0357552000000005
OGLE-LMC-CEP-0045,04:43:10.74,-67:16:58.0,853,0,0.0,0,0.0,0,0.0,853.0,1.866928
OGLE-LMC-CEP-0046,04:43:20.86,-69:13:47.9,846,S0132330384,1041.0,lm0131l6280,973.0,0,0.0,2860.0,8.8436041
OGLE-LMC-CEP-0048,04:43:31.45,-69:37:28.9,449,0,0.0,lm0133l12525,908.0,0,0.0,1357.0,5.548214
OGLE-LMC-CEP-0049,04:43:35.57,-70:41:46.6,757,0,0.0,lm0530l14001,761.0,46-517-6,148.0,1666.0,3.8491608
OGLE-LMC-CEP-0050,04:43:40.32,-69:34:14.2,844,S0132311186,492.0,lm0133k28443,1004.0,0,0.0,2340.0,7.8454429
OGLE-LMC-CEP-0053,04:44:04.82,-69:50:29.1,446,0,0.0,lm0135k14386,1019.0,0,0.0,1465.0,2.6338747000000002
OGLE-LMC-CEP-0055,04:44:34.07,-67:04:21.5,838,0,0.0,0,0.0,0,0.0,838.0,2.8620681
OGLE-LMC-CEP-0056,04:44:47.04,-70:13:51.0,1102,0,0.0,lm0137k18846,967.0,46-645-16,148.0,2217.0,3.6670371
OGLE-LMC-CEP-0057,04:44:52.68,-69:01:59.5,822,S0132330251,749.0,lm0156l19496,698.0,0,0.0,2269.0,10.306780300000002
OGLE-LMC-CEP-0058,04:44:53.35,-69:11:29.7,423,0,0.0,lm0131k22819,759.0,0,0.0,1182.0,4.3155684999999995
OGLE-LMC-CEP-0060,04:44:59.58,-69:49:55.7,1170,0,0.0,0,0.0,44-772-24,866.0,2036.0,3.4064849
OGLE-LMC-CEP-0064,04:45:29.34,-69:08:49.4,995,0,0.0,lm0131m15415,835.0,0,0.0,1830.0,3.2291388999999997
