ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,JD,mag,errmag
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5260.62701,15.829,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5261.54182,15.454,0.005
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5262.60856,15.71,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5264.57225,15.552,0.005
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5265.50605,15.754,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5266.57097,15.687,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5267.55231,15.629,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5268.62687,15.837,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5269.53622,15.45,0.005
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5271.54501,15.882,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5272.56217,15.559,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5273.53414,15.748,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5274.56531,15.668,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5276.54436,15.803,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5279.5325,15.892,0.007
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5281.50793,15.744,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5282.52663,15.705,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5283.54274,15.62,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5284.54607,15.811,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5285.54764,15.44,0.006
OGLE-LMC-CEP-1389,05:15:38.37,-69:15:19.7,OGLE4,I,786,5287.5409,15.885,0.007
