epoch,mag,errmag
2450729.73566,13.951,0.008
2450741.78826,13.755,0.01
2450744.78301,13.964,0.01
2450745.8676,13.946,0.008
2450746.80377,13.928,0.015
2450747.74792,13.915,0.014
2450748.70548,13.283,0.008
2450749.83957,13.384,0.01
2450750.81625,13.38,0.008
2450751.81397,13.403,0.008
2450759.67368,13.911,0.008
2450769.79699,13.456,0.01
2450776.78505,13.969,0.007
2450778.81417,13.913,0.006
2450780.7939,13.348,0.01
2450782.77345,13.378,0.01
2450789.80581,13.721,0.01
2450792.71231,13.948,0.01
2450795.79773,13.995,0.013
2450796.75186,13.496,0.007
2450798.81653,13.386,0.015
2450817.72065,13.422,0.011
2450827.70404,13.953,0.014
2450828.69397,13.829,0.011
2450830.76944,13.375,0.011
2450831.56018,13.386,0.006
2450832.54295,13.417,0.008
2450833.56233,13.425,0.01
2450834.66835,13.471,0.011
2450835.65938,13.531,0.014
2450838.72762,13.772,0.01
2450839.67797,13.859,0.007
2450841.72096,13.98,0.006
2450842.75711,13.955,0.006
2450843.79428,13.934,0.007
2450844.53685,13.961,0.004
2450846.78409,13.374,0.01
2450850.77468,13.464,0.011
2450856.745,13.933,0.007
2450857.74274,13.956,0.008
2450860.6186,13.987,0.006
2450876.61806,13.974,0.008
2450876.72021,13.98,0.01
2450878.62533,13.359,0.01
2450880.64179,13.409,0.014
2450887.68633,13.798,0.011
2450891.54144,13.944,0.01
2450892.50957,13.946,0.006
2450893.67567,13.516,0.008
2450896.52531,13.394,0.015
2450900.57901,13.536,0.01
2450919.58007,13.751,0.01
2450934.53954,13.679,0.006
2450937.5565,13.908,0.006
2450950.53324,13.643,0.01
2450952.52401,13.826,0.008
2450953.50465,13.895,0.013
2451074.83703,13.412,0.013
2451076.81874,13.442,0.007
2451084.83655,13.954,0.015
2451086.86137,13.976,0.015
2451090.74186,13.39,0.007
2451092.7588,13.444,0.013
2451108.80347,13.44,0.008
2451126.78054,13.524,0.015
2451129.84272,13.776,0.01
2451132.83837,13.95,0.007
2451135.7878,13.809,0.01
2451140.83689,13.426,0.013
2451142.78847,13.508,0.008
2451152.74624,13.271,0.006
2451154.77135,13.382,0.015
2451158.80489,13.502,0.014
2451160.80229,13.654,0.008
2451164.78428,13.95,0.011
2451165.82999,13.953,0.014
2451167.75319,13.967,0.014
2451168.71254,13.317,0.006
2451175.75352,13.57,0.015
2451179.80379,13.901,0.01
2451181.76471,13.964,0.015
2451184.71115,13.414,0.014
2451187.70265,13.387,0.01
2451188.71646,13.406,0.013
2451191.77972,13.548,0.013
2451192.78813,13.618,0.015
2451193.8276,13.703,0.006
2451194.70319,13.797,0.008
2451201.79158,13.323,0.008
2451204.70715,13.394,0.011
2451206.80726,13.476,0.008
2451207.718,13.544,0.007
2451208.78106,13.622,0.007
2451212.77868,13.943,0.01
2451214.68969,13.952,0.014
2451215.59445,13.941,0.01
2451217.7527,13.296,0.014
2451218.72771,13.377,0.014
2451219.66702,13.398,0.01
2451220.77435,13.41,0.011
2451221.64042,13.446,0.008
2451223.72943,13.542,0.008
2451226.61947,13.756,0.011
2451227.62431,13.86,0.01
2451230.69116,13.944,0.011
2451232.73029,13.859,0.007
2451235.62476,13.382,0.007
2451238.59635,13.461,0.011
2451240.72016,13.578,0.01
2451242.58968,13.745,0.011
2451243.68741,13.853,0.01
2451245.66424,13.953,0.008
2451248.54251,13.973,0.008
2451255.54965,13.483,0.008
2451258.62623,13.729,0.014
2451261.58794,13.953,0.014
2451266.52053,13.335,0.008
2451267.57515,13.374,0.008
2451268.5885,13.395,0.008
2451274.59169,13.687,0.013
2451277.57653,13.95,0.01
2451279.56183,13.967,0.015
2451281.58404,13.481,0.013
2451289.4737,13.594,0.01
2451298.47266,13.311,0.008
2451301.54693,13.401,0.007
2451305.5756,13.598,0.01
2451312.55229,13.941,0.01
