epoch,mag,errmag
2450471.70985,15.37,0.013
2450478.62546,15.37,0.014
2450479.65525,15.378,0.015
2450481.6709,15.569,0.014
2450484.64554,15.527,0.014
2450485.67738,15.349,0.013
2450490.65092,15.701,0.014
2450498.66459,15.441,0.018
2450501.62956,15.54,0.011
2450515.72848,15.581,0.013
2450527.59197,15.44,0.01
2450538.63372,15.665,0.01
2450539.57403,15.448,0.014
2450541.64255,15.466,0.014
2450551.58098,15.729,0.01
2450552.56586,15.561,0.011
2450553.58352,15.358,0.011
2450559.59746,15.522,0.011
2450797.80092,15.509,0.011
2450821.69338,15.51,0.011
2450835.73133,15.572,0.01
2450845.69788,15.466,0.014
2450859.60946,15.405,0.01
2450881.66585,15.4,0.014
2450890.61958,15.605,0.017
2450894.58931,15.368,0.014
2451130.74808,15.657,0.015
2451178.80079,15.564,0.015
2451182.75264,15.56,0.015
2451190.75773,15.686,0.008
2451193.71104,15.354,0.011
2451205.67003,15.641,0.013
2451212.62665,15.598,0.014
2451220.67127,15.395,0.014
2451229.59742,15.484,0.008
2451239.56278,15.678,0.014
2451247.60759,15.429,0.015
2451496.74413,15.618,0.013
2451511.82032,15.664,0.011
2451515.79417,15.506,0.013
2451524.70314,15.703,0.008
2451543.77618,15.579,0.015
2451550.76603,15.592,0.014
2451572.7509,15.697,0.014
2451573.76986,15.534,0.018
2451587.69834,15.468,0.01
2451618.63452,15.58,0.013
2451619.64493,15.663,0.014
2451622.60453,15.341,0.013
2451624.60189,15.475,0.01
2451631.58374,15.502,0.013
