ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,JD,mag,errmag
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2166.84886,15.385,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2172.89886,15.316,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2183.89214,15.25,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2189.85456,15.356,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2192.7585,15.379,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2201.76819,15.5,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2212.80299,15.466,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2217.7874,15.31,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2226.78234,15.447,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2228.82578,15.243,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2230.73922,15.671,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2232.75943,15.53,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2234.7534,15.342,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2238.704,15.587,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2240.83301,15.45,0.006
OGLE-LMC-CEP-1013,05:07:26.73,-66:36:58.4,OGLE3/OGLE4,I,1161,2242.83873,15.237,0.006
