ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,JD,mag,errmag
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5270.53569,14.707,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5293.55717,14.55,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5447.86559,14.302,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5458.86581,13.929,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5477.78192,14.478,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5487.75526,14.033,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5492.81185,14.58,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5495.768,14.964,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5499.77131,14.573,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5502.86248,14.117,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5503.80574,14.214,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5505.76645,14.421,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5507.80189,14.686,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5510.80213,14.973,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5512.82111,14.63,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5514.82333,13.8,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5516.82589,14.089,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5522.77322,14.805,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5523.73356,14.934,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5524.74295,14.969,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5525.70891,14.887,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5526.7457,14.634,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5528.68117,14.189,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5529.66159,13.796,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5530.73971,14.055,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5531.82279,14.158,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5532.73174,14.266,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5535.68589,14.613,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5536.76446,14.777,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5539.77324,14.912,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5546.74032,14.231,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5547.79937,14.34,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5548.77211,14.464,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5549.79131,14.589,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5550.81334,14.743,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5553.69055,14.966,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5556.73193,14.531,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5557.71384,13.697,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5558.71335,14.006,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5559.75673,14.115,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5560.77031,14.221,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5561.65808,14.301,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5562.78063,14.434,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5563.71061,14.559,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5565.71739,14.852,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5566.74624,14.949,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5582.73522,14.863,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5585.70566,13.983,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5586.67152,13.859,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5587.65284,14.056,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5588.71837,14.15,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5589.6829,14.263,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5590.64065,14.367,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5591.69939,14.499,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5592.70228,14.628,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5593.66506,14.787,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5594.68054,14.923,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5595.66362,14.99,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5596.67415,14.917,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5597.64033,14.683,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5598.65523,14.65,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5599.63279,14.34,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5600.70787,13.781,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5601.68382,14.034,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5602.68103,14.135,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5603.65247,14.23,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5604.5805,14.333,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5604.64984,14.343,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5604.72252,14.345,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5605.57056,14.452,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5605.74179,14.473,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5606.55879,14.587,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5606.72053,14.607,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5607.59459,14.739,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5607.72483,14.751,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5608.60295,14.889,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5609.56986,14.988,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5609.6963,14.976,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5611.5825,14.745,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5611.67977,14.721,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5612.57344,14.634,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5612.67905,14.638,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5613.62549,14.528,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5614.57274,13.691,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5614.62143,13.699,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5614.6724,13.702,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5615.58465,14.008,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5615.7152,14.013,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5616.57165,14.115,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5616.70454,14.12,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5617.52906,14.201,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5617.66148,14.213,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5619.54492,14.423,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5619.66482,14.43,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5622.61186,14.852,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5623.57452,14.968,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5625.56767,14.813,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5627.63765,14.602,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5629.57774,13.961,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5633.56436,14.397,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5647.55934,14.364,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5650.55503,14.772,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5652.5565,14.979,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5656.52438,14.312,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5659.55396,14.124,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5670.50738,14.511,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5674.53379,14.196,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5679.52301,14.865,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5685.51851,13.749,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5693.47911,14.81,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5825.85483,14.645,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5843.89343,14.082,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5854.80156,14.645,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5863.76434,14.764,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5867.78107,14.687,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5875.75059,14.45,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5880.8167,14.947,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5883.8068,14.489,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5886.82489,14.114,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5892.78776,14.853,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5897.77638,14.609,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5910.74303,14.641,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5924.73976,14.655,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5932.70361,14.46,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5940.73363,14.442,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5952.7441,14.772,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5961.68294,14.534,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5970.63942,13.923,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,5972.71648,14.175,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6006.55008,14.853,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6013.58961,13.991,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6020.56339,14.832,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6226.86353,14.0,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6229.86791,14.305,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6236.83797,14.833,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6292.79538,14.981,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6317.66772,14.623,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6333.66129,14.88,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6388.53864,14.586,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6390.53676,14.869,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6391.53057,14.983,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6395.49842,14.564,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6396.52008,13.702,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6397.52121,14.039,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6399.50936,14.214,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6400.50907,14.308,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6401.49609,14.429,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6402.53275,14.572,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6404.50632,14.859,0.004
OGLE-LMC-CEP-3439,04:53:05.25,-66:13:35.6,OGLE4,V,177,6407.50356,14.812,0.004
