epoch,mag,errmag
2450485.6338,15.086,0.008
2450527.64395,15.258,0.008
2450714.87517,14.848,0.014
2450748.79045,14.949,0.014
2450755.84296,14.859,0.008
2450799.76007,15.092,0.008
2450821.76721,15.28,0.01
2450824.79679,14.787,0.01
2450825.78113,14.922,0.011
2450836.74514,15.311,0.011
2450837.7598,14.887,0.008
2450843.7505,15.263,0.008
2450844.72034,14.84,0.004
2450857.60736,15.182,0.015
2450859.67203,14.888,0.013
2450881.60874,15.044,0.011
2450890.5627,15.331,0.01
2450894.52477,15.006,0.008
2450921.57838,14.966,0.008
2451158.8313,14.926,0.013
2451205.71206,15.291,0.008
2451225.6395,15.343,0.01
2451235.59198,14.917,0.007
2451245.63083,15.314,0.006
2451496.78821,15.081,0.013
2451499.80479,15.214,0.006
2451506.8301,15.123,0.008
2451515.71763,14.92,0.006
2451523.81647,15.06,0.008
2451545.72762,15.239,0.008
2451567.65196,15.327,0.01
2451584.66285,15.001,0.011
2451612.55065,15.055,0.011
2451620.61983,15.236,0.008
2451623.55755,14.874,0.014
2451629.56067,15.249,0.011
