ID,OGLE-II ID
OGLE-LMC-CEP-1115,A83/NGC1854
OGLE-LMC-CEP-2473,CV346
OGLE-LMC-CEP-2675,CV478
OGLE-LMC-CEP-0223,DV17
OGLE-LMC-CEP-0927,DV200
OGLE-LMC-CEP-0669,DV63
OGLE-LMC-CEP-4630,Dor
OGLE-LMC-CEP-4572,Dor
OGLE-LMC-CEP-4211,Dor
OGLE-LMC-CEP-2425,HV1000
OGLE-LMC-CEP-2534,HV1005
OGLE-LMC-CEP-2636,HV1006
OGLE-LMC-CEP-3323,HV12078
OGLE-LMC-CEP-3335,HV12079
OGLE-LMC-CEP-0107,HV12452
OGLE-LMC-CEP-0174,HV12471
OGLE-LMC-CEP-0155,HV12474
OGLE-LMC-CEP-0212,HV12475
OGLE-LMC-CEP-0538,HV12499
OGLE-LMC-CEP-0504,HV12505
OGLE-LMC-CEP-0749,HV12519
OGLE-LMC-CEP-1807,HV12586
OGLE-LMC-CEP-3203,HV12656
OGLE-LMC-CEP-0034,HV12716
OGLE-LMC-CEP-0046,HV12717
OGLE-LMC-CEP-0070,HV12724
OGLE-LMC-CEP-0103,HV12727
OGLE-LMC-CEP-1880,HV12806
OGLE-LMC-CEP-2174,HV12823
OGLE-LMC-CEP-2325,HV12829
OGLE-LMC-CEP-2922,HV12839
OGLE-LMC-CEP-4574,HV12865
OGLE-LMC-CEP-0050,HV12976
OGLE-LMC-CEP-1719,HV13064
OGLE-LMC-CEP-0292,HV2235
OGLE-LMC-CEP-0500,HV2244
OGLE-LMC-CEP-0360,HV2245
OGLE-LMC-CEP-0546,HV2249
OGLE-LMC-CEP-0655,HV2260
OGLE-LMC-CEP-0535,HV2261
OGLE-LMC-CEP-0520,HV2267
OGLE-LMC-CEP-0820,HV2273
OGLE-LMC-CEP-0683,HV2282
OGLE-LMC-CEP-0787,HV2288
OGLE-LMC-CEP-0801,HV2292
OGLE-LMC-CEP-0846,HV2297
OGLE-LMC-CEP-0923,HV2299
OGLE-LMC-CEP-0973,HV2326
OGLE-LMC-CEP-1083,HV2332
OGLE-LMC-CEP-1112,HV2335
OGLE-LMC-CEP-1128,HV2337
OGLE-LMC-CEP-1200,HV2358
OGLE-LMC-CEP-1261,HV2386
OGLE-LMC-CEP-1327,HV2405
OGLE-LMC-CEP-1538,HV2432
OGLE-LMC-CEP-1587,HV2453
OGLE-LMC-CEP-1608,HV2462
OGLE-LMC-CEP-1641,HV2463
OGLE-LMC-CEP-1866,HV2491
OGLE-LMC-CEP-1933,HV2510
OGLE-LMC-CEP-1952,HV2523
OGLE-LMC-CEP-1954,HV2527
OGLE-LMC-CEP-2030,HV2538
OGLE-LMC-CEP-2019,HV2540
OGLE-LMC-CEP-2023,HV2549
OGLE-LMC-CEP-2133,HV2585
OGLE-LMC-CEP-2269,HV2628
OGLE-LMC-CEP-4107,HV2642
OGLE-LMC-CEP-2448,HV2686
OGLE-LMC-CEP-2780,HV2749
OGLE-LMC-CEP-2917,HV2787
OGLE-LMC-CEP-2944,HV2789
OGLE-LMC-CEP-2934,HV2790
OGLE-LMC-CEP-2949,HV2793
OGLE-LMC-CEP-4324,HV2823
OGLE-LMC-CEP-3285,HV2868
OGLE-LMC-CEP-3286,HV2870
OGLE-LMC-CEP-0854,HV5543
OGLE-LMC-CEP-0689,HV5551
OGLE-LMC-CEP-1086,HV5594
OGLE-LMC-CEP-1184,HV5655
OGLE-LMC-CEP-4239,HV5986
OGLE-LMC-CEP-3258,HV6065
OGLE-LMC-CEP-0367,HV872
OGLE-LMC-CEP-0356,HV874
OGLE-LMC-CEP-0467,HV876
OGLE-LMC-CEP-0501,HV878
OGLE-LMC-CEP-0561,HV880
OGLE-LMC-CEP-0844,HV891
OGLE-LMC-CEP-0935,HV893
OGLE-LMC-CEP-0986,HV899
OGLE-LMC-CEP-1031,HV901
OGLE-LMC-CEP-1058,HV904
OGLE-LMC-CEP-1344,HV919
OGLE-LMC-CEP-1642,HV935
OGLE-LMC-CEP-2337,HV997
OGLE-LMC-CEP-2429,HV999
OGLE-LMC-CEP-1180,LMC_SC10_119173
OGLE-LMC-CEP-1214,LMC_SC10_181906
OGLE-LMC-CEP-1234,LMC_SC10_235307
